"Very High Voltage (kWh)";"High Voltage (kWh)";"Medium Voltage (kWh)";"Low Voltage (kWh)";"Total (kWh)";"temperature_2m (°C)";"relative_humidity_2m (%)";"precipitation (mm)";"apparent_temperature (°C)";"cloud_cover (%)";"surface_pressure (hPa)";"wind_speed_10m (km/h)";"Diffuse_Radiation";"Direct_Radiation";"wind_speed_100m (km/h)";"wind_direction_10m (°)";"wind_direction_100m (°)";"wind_gusts_10m (km/h)";"terrestrial_radiation (W/m²)";"Consumptions";"year";"month";"day_of_year";"day_of_week";"hour";"estacao_ano";"weekend"
33016.822025;136310.29035;245807.525425;969603.3098015;1384737.9476015;6.7;80;0;3.6;91;999.7;10.6;"None";"None";24.4;47;54;18.7;0;"Medium Consumption";2025;1;1;4;0;"Winter";0
33424.59555;137579.432525;244166.680825;908571.021883375;1323741.730783375;6.45;80;0;3.4;0;999.2;10.75;"None";"None";24.6;54;60;20.9;0;"Medium Consumption";2025;1;1;4;1;"Winter";0
33652.2876;138687.27049999998;240472.8947;847538.73396525;1260351.1867652498;6.2;80;0;3.1;0;999.2;10.9;"None";"None";24.8;56;61;20.5;0;"Low Consumption";2025;1;1;4;2;"Winter";0
34524.636575000004;139897.32485;237137.4815;773544.33958225;1185103.78250725;5.8;85;0;2.8;0;999.2;9.8;"None";"None";22.9;59;63;19.533333333333335;0;"Low Consumption";2025;1;1;4;3;"Winter";0
34524.636375;139109.773525;233643.348425;716674.44938025;1123952.20770525;5.3;88;0;2.3499999999999996;91;999;9.9;"None";"None";22.4;61;64;18.566666666666666;0;"Low Consumption";2025;1;1;4;4;"Winter";0
33683.8494;138751.47565;232966.572025;685319.2399625;1090721.1370375;4.9;91;0;1.9;0;998.6;10.4;"None";"None";22.8;56;62;17.6;0;"Low Consumption";2025;1;1;4;5;"Winter";0
33592.401525;139241.9203;238296.102225;670411.5402082499;1081541.9642582498;4.4;93;0;1.6;0;998.8;8.8;"None";"None";20.6;70;69;18;0;"Low Consumption";2025;1;1;4;6;"Winter";0
32941.600225;140351.8567;246273.323925;669093.86573825;1088660.64658825;4.1;94;0;1.2;0;998.7;9.3;"None";"None";20.4;63;63;16.6;0;"Low Consumption";2025;1;1;4;7;"Winter";0
34028.848175;140030.788;245702.980675;664085.12971425;1083847.74656425;3.8;95;0;0.8;0;998.8;9.8;"None";"None";19.6;60;72;16.6;5.8;"Low Consumption";2025;1;1;4;8;"Winter";0
35000.8793;136855.638975;228546.614625;722873.56733375;1123276.70023375;5.2;91;0;2;0;999.2;11.4;"Low";"Low";19;64;80;19.1;152.3;"Low Consumption";2025;1;1;4;9;"Winter";0
34927.883125;133507.8448125;214060.4846;821108.74572825;1203604.95826575;7.7;81;0;5.2;0;999.6;8.2;"Low";"Low";18.4;75;75;20.5;367.9;"Low Consumption";2025;1;1;4;10;"Winter";0
34854.88695;130160.05065;207178.01535;914496.1874815;1286689.1404315;10.5;70;0;8;0;999.9;8.5;"Low";"Low";12.7;90;97;20.5;535.3;"Medium Consumption";2025;1;1;4;11;"Winter";0
34016.25815;129585.4026;208583.602325;985144.214757;1357329.477832;12.6;59;0;10.4;0;999.6;6.2;"Low";"Low";8.3;97;103;20.9;643.1;"Medium Consumption";2025;1;1;4;12;"Winter";0
